Entry	Entry name	Protein description	Gene name	Organism
P0A853	TNAA_ECOLI	TNAA_ECOLI Tryptophanase	tnaA	Escherichia coli (strain K12)
P0A855	TOLB_ECOLI	TOLB_ECOLI Tol-Pal system protein TolB	tolB	Escherichia coli (strain K12)
P0A858	TPIS_ECOLI	TPIS_ECOLI Triosephosphate isomerase	tpiA	Escherichia coli (strain K12)
P0A862	TPX_ECOLI	TPX_ECOLI Thiol peroxidase	tpx	Escherichia coli (strain K12)
P0A867	TALA_ECOLI	TALA_ECOLI Transaldolase A	talA	Escherichia coli (strain K12)
P0A870	TALB_ECOLI	TALB_ECOLI Transaldolase B	talB	Escherichia coli (strain K12)
P0A873	TRMD_ECOLI	TRMD_ECOLI tRNA (guanine-N(1)-)-methyltransferase	trmD	Escherichia coli (strain K12)
P0A877	TRPA_ECOLI	TRPA_ECOLI Tryptophan synthase alpha chain	trpA	Escherichia coli (strain K12)
P0A879	TRPB_ECOLI	TRPB_ECOLI Tryptophan synthase beta chain	trpB	Escherichia coli (strain K12)
P0A881	TRPR_ECOLI	TRPR_ECOLI Trp operon repressor	trpR	Escherichia coli (strain K12)
P0A884	TYSY_ECOLI	TYSY_ECOLI Thymidylate synthase	thyA	Escherichia coli (strain K12)
P0A887	UBIE_ECOLI	UBIE_ECOLI Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	ubiE	Escherichia coli (strain K12)
P0A890	TUSA_ECOLI	TUSA_ECOLI Sulfur carrier protein TusA	tusA	Escherichia coli (strain K12)
P0A894	RAPZ_ECOLI	RAPZ_ECOLI RNase adapter protein RapZ	rapZ	Escherichia coli (strain K12)
P0A898	YBEY_ECOLI	YBEY_ECOLI Endoribonuclease YbeY	ybeY	Escherichia coli (strain K12)
P0A8A0	YEBC_ECOLI	YEBC_ECOLI Probable transcriptional regulatory protein YebC	yebC	Escherichia coli (strain K12)
P0A8A2	YEEN_ECOLI	YEEN_ECOLI Probable transcriptional regulatory protein YeeN	yeeN	Escherichia coli (strain K12)
P0A8A4	PSRP_ECOLI	PSRP_ECOLI Phosphoenolpyruvate synthase regulatory protein	ppsR	Escherichia coli (strain K12)
P0A8A8	RIMP_ECOLI	RIMP_ECOLI Ribosome maturation factor RimP	rimP	Escherichia coli (strain K12)
P0A8B2	YFCN_ECOLI	YFCN_ECOLI UPF0115 protein YfcN	yfcN	Escherichia coli (strain K12)
P0A8B5	YBAB_ECOLI	YBAB_ECOLI Nucleoid-associated protein YbaB	ybaB	Escherichia coli (strain K12)
P0A8C1	YBJQ_ECOLI	YBJQ_ECOLI UPF0145 protein YbjQ	ybjQ	Escherichia coli (strain K12)
P0A8C4	YGFB_ECOLI	YGFB_ECOLI UPF0149 protein YgfB	ygfB	Escherichia coli (strain K12)
P0A8C8	YIDD_ECOLI	YIDD_ECOLI Putative membrane protein insertion efficiency factor	yidD	Escherichia coli (strain K12)
P0A8D0	NRDR_ECOLI	NRDR_ECOLI Transcriptional repressor NrdR	nrdR	Escherichia coli (strain K12)
P0A8D3	YAII_ECOLI	YAII_ECOLI UPF0178 protein YaiI	yaiI	Escherichia coli (strain K12)
P0A8D6	YMDB_ECOLI	YMDB_ECOLI O-acetyl-ADP-ribose deacetylase	ymdB	Escherichia coli (strain K12)
P0A8D9	YFBV_ECOLI	YFBV_ECOLI UPF0208 membrane protein YfbV	yfbV	Escherichia coli (strain K12)
P0A8E1	YCFP_ECOLI	YCFP_ECOLI UPF0227 protein YcfP	ycfP	Escherichia coli (strain K12)
P0A8E5	YACL_ECOLI	YACL_ECOLI UPF0231 protein YacL	yacL	Escherichia coli (strain K12)
P0A8E7	YAJQ_ECOLI	YAJQ_ECOLI UPF0234 protein YajQ	yajQ	Escherichia coli (strain K12)
P0A8F0	UPP_ECOLI	UPP_ECOLI Uracil phosphoribosyltransferase	upp	Escherichia coli (strain K12)
P0A8F4	URK_ECOLI	URK_ECOLI Uridine kinase	udk	Escherichia coli (strain K12)
P0A8F8	UVRB_ECOLI	UVRB_ECOLI UvrABC system protein B	uvrB	Escherichia coli (strain K12)
P0A8G0	UVRC_ECOLI	UVRC_ECOLI UvrABC system protein C	uvrC	Escherichia coli (strain K12)
P0A8G3	UXAC_ECOLI	UXAC_ECOLI Uronate isomerase	uxaC	Escherichia coli (strain K12)
P0A8G6	NQOR_ECOLI	NQOR_ECOLI NAD(P)H dehydrogenase (quinone)	wrbA	Escherichia coli (strain K12)
P0A8G9	EX7S_ECOLI	EX7S_ECOLI Exodeoxyribonuclease 7 small subunit	xseB	Escherichia coli (strain K12)
P0A8H3	ZUPT_ECOLI	ZUPT_ECOLI Zinc transporter ZupT	zupT	Escherichia coli (strain K12)
P0A8H6	YIHI_ECOLI	YIHI_ECOLI Der GTPase-activating protein YihI	yihI	Escherichia coli (strain K12)
P0A8H8	YACG_ECOLI	YACG_ECOLI DNA gyrase inhibitor YacG	yacG	Escherichia coli (strain K12)
P0A8I1	YQGF_ECOLI	YQGF_ECOLI Putative pre-16S rRNA nuclease	yqgF	Escherichia coli (strain K12)
P0A8I3	YAAA_ECOLI	YAAA_ECOLI Peroxide stress resistance protein YaaA	yaaA	Escherichia coli (strain K12)
P0A8I5	TRMB_ECOLI	TRMB_ECOLI tRNA (guanine-N(7)-)-methyltransferase	trmB	Escherichia coli (strain K12)
P0A8I8	RLMH_ECOLI	RLMH_ECOLI Ribosomal RNA large subunit methyltransferase H	rlmH	Escherichia coli (strain K12)
P0A8J2	DNAT_ECOLI	DNAT_ECOLI Primosomal protein 1	dnaT	Escherichia coli (strain K12)
P0A8J4	YBED_ECOLI	YBED_ECOLI UPF0250 protein YbeD	ybeD	Escherichia coli (strain K12)
P0A8J8	RHLB_ECOLI	RHLB_ECOLI ATP-dependent RNA helicase RhlB	rhlB	Escherichia coli (strain K12)
P0A8K1	PSD_ECOLI	PSD_ECOLI Phosphatidylserine decarboxylase proenzyme	psd	Escherichia coli (strain K12)
P0A8K5	YAEP_ECOLI	YAEP_ECOLI UPF0253 protein YaeP	yaeP	Escherichia coli (strain K12)
P0A8K8	YIHY_ECOLI	YIHY_ECOLI UPF0761 membrane protein YihY	yihY	Escherichia coli (strain K12)
P0A8L1	SYS_ECOLI	SYS_ECOLI Serine--tRNA ligase	serS	Escherichia coli (strain K12)
P0A8L5	YCGN_ECOLI	YCGN_ECOLI UPF0260 protein YcgN	ycgN	Escherichia coli (strain K12)
P0A8L7	YCIU_ECOLI	YCIU_ECOLI UPF0263 protein YciU	yciU	Escherichia coli (strain K12)
P0A8M0	SYN_ECOLI	SYN_ECOLI Asparagine--tRNA ligase	asnS	Escherichia coli (strain K12)
P0A8M3	SYT_ECOLI	SYT_ECOLI Threonine--tRNA ligase	thrS	Escherichia coli (strain K12)
P0A8M6	YEEX_ECOLI	YEEX_ECOLI UPF0265 protein YeeX	yeeX	Escherichia coli (strain K12)
P0A8N0	MATP_ECOLI	MATP_ECOLI Macrodomain Ter protein	matP	Escherichia coli (strain K12)
P0A8N3	SYK1_ECOLI	SYK1_ECOLI Lysine--tRNA ligase	lysS	Escherichia coli (strain K12)
P0A8N5	SYK2_ECOLI	SYK2_ECOLI Lysine--tRNA ligase, heat inducible	lysU	Escherichia coli (strain K12)
P0A8N7	EPMA_ECOLI	EPMA_ECOLI Elongation factor P--(R)-beta-lysine ligase	epmA	Escherichia coli (strain K12)
P0A8P1	LFTR_ECOLI	LFTR_ECOLI Leucyl/phenylalanyl-tRNA--protein transferase	aat	Escherichia coli (strain K12)
P0A8P3	FETP_ECOLI	FETP_ECOLI Probable Fe(2+)-trafficking protein	yggX	Escherichia coli (strain K12)
P0A8P6	XERC_ECOLI	XERC_ECOLI Tyrosine recombinase XerC	xerC	Escherichia coli (strain K12)
P0A8P8	XERD_ECOLI	XERD_ECOLI Tyrosine recombinase XerD	xerD	Escherichia coli (strain K12)
P0A8Q0	FRDC_ECOLI	FRDC_ECOLI Fumarate reductase subunit C	frdC	Escherichia coli (strain K12)
P0A8Q3	FRDD_ECOLI	FRDD_ECOLI Fumarate reductase subunit D	frdD	Escherichia coli (strain K12)
P0A8Q6	CLPS_ECOLI	CLPS_ECOLI ATP-dependent Clp protease adapter protein ClpS	clpS	Escherichia coli (strain K12)
P0A8R0	RRAA_ECOLI	RRAA_ECOLI Regulator of ribonuclease activity A	rraA	Escherichia coli (strain K12)
P0A8R4	SLYX_ECOLI	SLYX_ECOLI Protein SlyX	slyX	Escherichia coli (strain K12)
P0A8R7	YCJF_ECOLI	YCJF_ECOLI UPF0283 membrane protein YcjF	ycjF	Escherichia coli (strain K12)
P0A8R9	HDFR_ECOLI	HDFR_ECOLI HTH-type transcriptional regulator HdfR	hdfR	Escherichia coli (strain K12)
P0A8S1	ARGP_ECOLI	ARGP_ECOLI HTH-type transcriptional regulator ArgP	argP	Escherichia coli (strain K12)
P0A8S5	USPB_ECOLI	USPB_ECOLI Universal stress protein B	uspB	Escherichia coli (strain K12)
P0A8S9	FLHD_ECOLI	FLHD_ECOLI Flagellar transcriptional regulator FlhD	flhD	Escherichia coli (strain K12)
P0A8T1	PRMA_ECOLI	PRMA_ECOLI Ribosomal protein L11 methyltransferase	prmA	Escherichia coli (strain K12)
P0A8T5	FLIE_ECOLI	FLIE_ECOLI Flagellar hook-basal body complex protein FliE	fliE	Escherichia coli (strain K12)
P0A8T7	RPOC_ECOLI	RPOC_ECOLI DNA-directed RNA polymerase subunit beta'	rpoC	Escherichia coli (strain K12)
P0A8U0	SYDP_ECOLI	SYDP_ECOLI Protein Syd	syd	Escherichia coli (strain K12)
P0A8U2	YAFD_ECOLI	YAFD_ECOLI UPF0294 protein YafD	yafD	Escherichia coli (strain K12)
P0A8U6	METJ_ECOLI	METJ_ECOLI Met repressor	metJ	Escherichia coli (strain K12)
P0A8V0	RBN_ECOLI	RBN_ECOLI Ribonuclease BN	rbn	Escherichia coli (strain K12)
P0A8V2	RPOB_ECOLI	RPOB_ECOLI DNA-directed RNA polymerase subunit beta	rpoB	Escherichia coli (strain K12)
P0A8V6	FADR_ECOLI	FADR_ECOLI Fatty acid metabolism regulator protein	fadR	Escherichia coli (strain K12)
P0A8W0	NANR_ECOLI	NANR_ECOLI HTH-type transcriptional repressor NanR	nanR	Escherichia coli (strain K12)
P0A8W2	SLYA_ECOLI	SLYA_ECOLI Transcriptional regulator SlyA	slyA	Escherichia coli (strain K12)
P0A8W5	YQGE_ECOLI	YQGE_ECOLI UPF0301 protein YqgE	yqgE	Escherichia coli (strain K12)
P0A8W8	YFBU_ECOLI	YFBU_ECOLI UPF0304 protein YfbU	yfbU	Escherichia coli (strain K12)
P0A8X0	YJGA_ECOLI	YJGA_ECOLI UPF0307 protein YjgA	yjgA	Escherichia coli (strain K12)
P0A8X2	YCEI_ECOLI	YCEI_ECOLI Protein YceI	yceI	Escherichia coli (strain K12)
P0A8X4	YCCT_ECOLI	YCCT_ECOLI UPF0319 protein YccT	yccT	Escherichia coli (strain K12)
P0A8Y1	YJJG_ECOLI	YJJG_ECOLI Pyrimidine 5'-nucleotidase YjjG	yjjG	Escherichia coli (strain K12)
P0A8Y3	YIHX_ECOLI	YIHX_ECOLI Alpha-D-glucose 1-phosphate phosphatase YihX	yihX	Escherichia coli (strain K12)
P0A8Y5	YIDA_ECOLI	YIDA_ECOLI Sugar phosphatase YidA	yidA	Escherichia coli (strain K12)
P0A8Y8	ENTH_ECOLI	ENTH_ECOLI Proofreading thioesterase EntH	entH	Escherichia coli (strain K12)
P0A8Z0	YCIA_ECOLI	YCIA_ECOLI Acyl-CoA thioester hydrolase YciA	yciA	Escherichia coli (strain K12)
P0A8Z3	YBGC_ECOLI	YBGC_ECOLI Acyl-CoA thioester hydrolase YbgC	ybgC	Escherichia coli (strain K12)
P0A8Z7	YQIA_ECOLI	YQIA_ECOLI Esterase YqiA	yqiA	Escherichia coli (strain K12)
P0A901	BLC_ECOLI	BLC_ECOLI Outer membrane lipoprotein Blc	blc	Escherichia coli (strain K12)
P0A903	BAMC_ECOLI	BAMC_ECOLI Outer membrane protein assembly factor BamC	bamC	Escherichia coli (strain K12)
P0A905	SLYB_ECOLI	SLYB_ECOLI Outer membrane lipoprotein SlyB	slyB	Escherichia coli (strain K12)
P0A908	MIPA_ECOLI	MIPA_ECOLI MltA-interacting protein	mipA	Escherichia coli (strain K12)
P0A910	OMPA_ECOLI	OMPA_ECOLI Outer membrane protein A	ompA	Escherichia coli (strain K12)
P0A912	PAL_ECOLI	PAL_ECOLI Peptidoglycan-associated lipoprotein	pal	Escherichia coli (strain K12)
P0A915	OMPW_ECOLI	OMPW_ECOLI Outer membrane protein W	ompW	Escherichia coli (strain K12)
P0A917	OMPX_ECOLI	OMPX_ECOLI Outer membrane protein X	ompX	Escherichia coli (strain K12)
P0A921	PA1_ECOLI	PA1_ECOLI Phospholipase A1	pldA	Escherichia coli (strain K12)
P0A924	PGPB_ECOLI	PGPB_ECOLI Phosphatidylglycerophosphatase B	pgpB	Escherichia coli (strain K12)
P0A927	TSX_ECOLI	TSX_ECOLI Nucleoside-specific channel-forming protein Tsx	tsx	Escherichia coli (strain K12)
P0A930	WZA_ECOLI	WZA_ECOLI Putative polysaccharide export protein Wza	wza	Escherichia coli (strain K12)
P0A932	GFCE_ECOLI	GFCE_ECOLI Putative polysaccharide export protein GfcE	gfcE	Escherichia coli (strain K12)
P0A935	MLTA_ECOLI	MLTA_ECOLI Membrane-bound lytic murein transglycosylase A	mltA	Escherichia coli (strain K12)
P0A937	BAME_ECOLI	BAME_ECOLI Outer membrane protein assembly factor BamE	bamE	Escherichia coli (strain K12)
P0A940	BAMA_ECOLI	BAMA_ECOLI Outer membrane protein assembly factor BamA	bamA	Escherichia coli (strain K12)
P0A944	RIMI_ECOLI	RIMI_ECOLI [Ribosomal protein S18]-alanine N-acetyltransferase	rimI	Escherichia coli (strain K12)
P0A948	RIMJ_ECOLI	RIMJ_ECOLI [Ribosomal protein S5]-alanine N-acetyltransferase	rimJ	Escherichia coli (strain K12)
P0A951	ATDA_ECOLI	ATDA_ECOLI Spermidine N(1)-acetyltransferase	speG	Escherichia coli (strain K12)
P0A953	FABB_ECOLI	FABB_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 1	fabB	Escherichia coli (strain K12)
P0A955	ALKH_ECOLI	ALKH_ECOLI KHG/KDPG aldolase	eda	Escherichia coli (strain K12)
P0A959	ALAA_ECOLI	ALAA_ECOLI Glutamate-pyruvate aminotransferase AlaA	alaA	Escherichia coli (strain K12)
P0A962	ASPG1_ECOLI	ASPG1_ECOLI L-asparaginase 1	ansA	Escherichia coli (strain K12)
P0A964	CHEW_ECOLI	CHEW_ECOLI Chemotaxis protein CheW	cheW	Escherichia coli (strain K12)
P0A968	CSPD_ECOLI	CSPD_ECOLI Cold shock-like protein CspD	cspD	Escherichia coli (strain K12)
P0A972	CSPE_ECOLI	CSPE_ECOLI Cold shock-like protein CspE	cspE	Escherichia coli (strain K12)
P0A976	CSPF_ECOLI	CSPF_ECOLI Cold shock-like protein CspF	cspF	Escherichia coli (strain K12)
P0A978	CSPG_ECOLI	CSPG_ECOLI Cold shock-like protein CspG	cspG	Escherichia coli (strain K12)
P0A982	CSPH_ECOLI	CSPH_ECOLI Cold shock-like protein CspH	cspH	Escherichia coli (strain K12)
P0A986	CSPI_ECOLI	CSPI_ECOLI Cold shock-like protein CspI	cspI	Escherichia coli (strain K12)
P0A988	DPO3B_ECOLI	DPO3B_ECOLI Beta sliding clamp	dnaN	Escherichia coli (strain K12)
P0A991	ALF1_ECOLI	ALF1_ECOLI Fructose-bisphosphate aldolase class 1	fbaB	Escherichia coli (strain K12)
P0A993	F16PA_ECOLI	F16PA_ECOLI Fructose-1,6-bisphosphatase class 1	fbp	Escherichia coli (strain K12)
P0A996	GLPC_ECOLI	GLPC_ECOLI Anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC	Escherichia coli (strain K12)
P0A998	FTNA_ECOLI	FTNA_ECOLI Bacterial non-heme ferritin	ftnA	Escherichia coli (strain K12)
P0A9A2	FTNB_ECOLI	FTNB_ECOLI Bacterial non-heme ferritin-like protein	ftnB	Escherichia coli (strain K12)
P0A9A6	FTSZ_ECOLI	FTSZ_ECOLI Cell division protein FtsZ	ftsZ	Escherichia coli (strain K12)
P0A9A9	FUR_ECOLI	FUR_ECOLI Ferric uptake regulation protein	fur	Escherichia coli (strain K12)
P0A9B2	G3P1_ECOLI	G3P1_ECOLI Glyceraldehyde-3-phosphate dehydrogenase A	gapA	Escherichia coli (strain K12)
P0A9B6	E4PD_ECOLI	E4PD_ECOLI D-erythrose-4-phosphate dehydrogenase	epd	Escherichia coli (strain K12)
P0A9C0	GLPA_ECOLI	GLPA_ECOLI Anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA	Escherichia coli (strain K12)
P0A9C3	GALM_ECOLI	GALM_ECOLI Aldose 1-epimerase	galM	Escherichia coli (strain K12)
P0A9C5	GLN1B_ECOLI	GLN1B_ECOLI Glutamine synthetase	glnA	Escherichia coli (strain K12)
P0A9C9	GLPX_ECOLI	GLPX_ECOLI Fructose-1,6-bisphosphatase 1 class 2	glpX	Escherichia coli (strain K12)
P0A9D2	GSTA_ECOLI	GSTA_ECOLI Glutathione S-transferase GstA	gstA	Escherichia coli (strain K12)
P0A9D4	CYSE_ECOLI	CYSE_ECOLI Serine acetyltransferase	cysE	Escherichia coli (strain K12)
P0A9D8	DAPD_ECOLI	DAPD_ECOLI 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD	Escherichia coli (strain K12)
P0A9E0	ARAC_ECOLI	ARAC_ECOLI Arabinose operon regulatory protein	araC	Escherichia coli (strain K12)
P0A9E2	SOXS_ECOLI	SOXS_ECOLI Regulatory protein SoxS	soxS	Escherichia coli (strain K12)
P0A9E5	FNR_ECOLI	FNR_ECOLI Fumarate and nitrate reduction regulatory protein	fnr	Escherichia coli (strain K12)
P0A9E9	YEIL_ECOLI	YEIL_ECOLI Regulatory protein YeiL	yeiL	Escherichia coli (strain K12)
P0A9F1	MNTR_ECOLI	MNTR_ECOLI Transcriptional regulator MntR	mntR	Escherichia coli (strain K12)
P0A9F3	CYSB_ECOLI	CYSB_ECOLI HTH-type transcriptional regulator CysB	cysB	Escherichia coli (strain K12)
P0A9F6	GCVA_ECOLI	GCVA_ECOLI Glycine cleavage system transcriptional activator	gcvA	Escherichia coli (strain K12)
P0A9F9	METR_ECOLI	METR_ECOLI HTH-type transcriptional regulator MetR	metR	Escherichia coli (strain K12)
P0A9G2	NHAR_ECOLI	NHAR_ECOLI Transcriptional activator protein NhaR	nhaR	Escherichia coli (strain K12)
P0A9G4	CUER_ECOLI	CUER_ECOLI HTH-type transcriptional regulator CueR	cueR	Escherichia coli (strain K12)
P0A9G6	ACEA_ECOLI	ACEA_ECOLI Isocitrate lyase	aceA	Escherichia coli (strain K12)
P0A9G8	MODE_ECOLI	MODE_ECOLI DNA-binding transcriptional dual regulator ModE	modE	Escherichia coli (strain K12)
P0A9H1	MUG_ECOLI	MUG_ECOLI G/U mismatch-specific DNA glycosylase	mug	Escherichia coli (strain K12)
P0A9H3	LDCI_ECOLI	LDCI_ECOLI Inducible lysine decarboxylase	cadA	Escherichia coli (strain K12)
P0A9H5	BTUR_ECOLI	BTUR_ECOLI Corrinoid adenosyltransferase	btuR	Escherichia coli (strain K12)
P0A9H7	CFA_ECOLI	CFA_ECOLI Cyclopropane-fatty-acyl-phospholipid synthase	cfa	Escherichia coli (strain K12)
P0A9H9	CHEZ_ECOLI	CHEZ_ECOLI Protein phosphatase CheZ	cheZ	Escherichia coli (strain K12)
P0A9I1	CITE_ECOLI	CITE_ECOLI Citrate lyase subunit beta	citE	Escherichia coli (strain K12)
P0A9I3	GCVR_ECOLI	GCVR_ECOLI Glycine cleavage system transcriptional repressor	gcvR	Escherichia coli (strain K12)
P0A9I5	NAPD_ECOLI	NAPD_ECOLI Chaperone NapD	napD	Escherichia coli (strain K12)
P0A9I8	NIRD_ECOLI	NIRD_ECOLI Nitrite reductase (NADH) small subunit	nirD	Escherichia coli (strain K12)
P0A9J0	RNG_ECOLI	RNG_ECOLI Ribonuclease G	rng	Escherichia coli (strain K12)
P0A9J4	PANE_ECOLI	PANE_ECOLI 2-dehydropantoate 2-reductase	panE	Escherichia coli (strain K12)
P0A9J6	RBSK_ECOLI	RBSK_ECOLI Ribokinase	rbsK	Escherichia coli (strain K12)
P0A9J8	CMPDT_ECOLI	CMPDT_ECOLI Bifunctional chorismate mutase/prephenate dehydratase	pheA	Escherichia coli (strain K12)
P0A9K1	PHOH_ECOLI	PHOH_ECOLI Protein PhoH	phoH	Escherichia coli (strain K12)
P0A9K3	PHOL_ECOLI	PHOL_ECOLI PhoH-like protein	ybeZ	Escherichia coli (strain K12)
P0A9K7	PHOU_ECOLI	PHOU_ECOLI Phosphate-specific transport system accessory protein PhoU	phoU	Escherichia coli (strain K12)
P0A9K9	SLYD_ECOLI	SLYD_ECOLI FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	slyD	Escherichia coli (strain K12)
P0A9L3	FKBB_ECOLI	FKBB_ECOLI FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	fklB	Escherichia coli (strain K12)
P0A9L5	PPIC_ECOLI	PPIC_ECOLI Peptidyl-prolyl cis-trans isomerase C	ppiC	Escherichia coli (strain K12)
P0A9L8	P5CR_ECOLI	P5CR_ECOLI Pyrroline-5-carboxylate reductase	proC	Escherichia coli (strain K12)
P0A9M0	LON_ECOLI	LON_ECOLI Lon protease	lon	Escherichia coli (strain K12)
P0A9M2	HPRT_ECOLI	HPRT_ECOLI Hypoxanthine phosphoribosyltransferase	hpt	Escherichia coli (strain K12)
P0A9M5	XGPT_ECOLI	XGPT_ECOLI Xanthine-guanine phosphoribosyltransferase	gpt	Escherichia coli (strain K12)
P0A9M8	PTA_ECOLI	PTA_ECOLI Phosphate acetyltransferase	pta	Escherichia coli (strain K12)
P0A9N0	PTSO_ECOLI	PTSO_ECOLI Phosphocarrier protein NPr	ptsO	Escherichia coli (strain K12)
P0A9N4	PFLA_ECOLI	PFLA_ECOLI Pyruvate formate-lyase 1-activating enzyme	pflA	Escherichia coli (strain K12)
P0A9N8	NRDG_ECOLI	NRDG_ECOLI Anaerobic ribonucleoside-triphosphate reductase-activating protein	nrdG	Escherichia coli (strain K12)
P0A9P0	DLDH_ECOLI	DLDH_ECOLI Dihydrolipoyl dehydrogenase	lpdA	Escherichia coli (strain K12)
P0A9P4	TRXB_ECOLI	TRXB_ECOLI Thioredoxin reductase	trxB	Escherichia coli (strain K12)
P0A9P6	DEAD_ECOLI	DEAD_ECOLI ATP-dependent RNA helicase DeaD	deaD	Escherichia coli (strain K12)
P0A9P9	IDNO_ECOLI	IDNO_ECOLI 5-keto-D-gluconate 5-reductase	idnO	Escherichia coli (strain K12)
P0A9Q1	ARCA_ECOLI	ARCA_ECOLI Aerobic respiration control protein ArcA	arcA	Escherichia coli (strain K12)
P0A9Q5	ACCD_ECOLI	ACCD_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	accD	Escherichia coli (strain K12)
P0A9Q7	ADHE_ECOLI	ADHE_ECOLI Aldehyde-alcohol dehydrogenase	adhE	Escherichia coli (strain K12)
P0A9Q9	DHAS_ECOLI	DHAS_ECOLI Aspartate-semialdehyde dehydrogenase	asd	Escherichia coli (strain K12)
P0A9R2	ESSD_ECOLI	ESSD_ECOLI Prophage lysis protein S homolog EssD	essD	Escherichia coli (strain K12)
P0A9R4	FER_ECOLI	FER_ECOLI 2Fe-2S ferredoxin	fdx	Escherichia coli (strain K12)
P0A9R7	FTSE_ECOLI	FTSE_ECOLI Cell division ATP-binding protein FtsE	ftsE	Escherichia coli (strain K12)
P0A9S1	FUCO_ECOLI	FUCO_ECOLI Lactaldehyde reductase	fucO	Escherichia coli (strain K12)
P0A9S3	GATD_ECOLI	GATD_ECOLI Galactitol 1-phosphate 5-dehydrogenase	gatD	Escherichia coli (strain K12)
P0A9S5	GLDA_ECOLI	GLDA_ECOLI Glycerol dehydrogenase	gldA	Escherichia coli (strain K12)
P0A9S7	LIVG_ECOLI	LIVG_ECOLI High-affinity branched-chain amino acid transport ATP-binding protein LivG	livG	Escherichia coli (strain K12)
P0A9T0	SERA_ECOLI	SERA_ECOLI D-3-phosphoglycerate dehydrogenase	serA	Escherichia coli (strain K12)
P0A9T4	TAS_ECOLI	TAS_ECOLI Protein tas	tas	Escherichia coli (strain K12)
P0A9T6	YBAQ_ECOLI	YBAQ_ECOLI Uncharacterized HTH-type transcriptional regulator YbaQ	ybaQ	Escherichia coli (strain K12)
P0A9T8	YBBA_ECOLI	YBBA_ECOLI Uncharacterized ABC transporter ATP-binding protein YbbA	ybbA	Escherichia coli (strain K12)
P0A9U1	YBHF_ECOLI	YBHF_ECOLI Probable multidrug ABC transporter ATP-binding protein YbhF	ybhF	Escherichia coli (strain K12)
P0A9U3	YBIT_ECOLI	YBIT_ECOLI Probable ATP-binding protein YbiT	ybiT	Escherichia coli (strain K12)
P0A9U6	PUUR_ECOLI	PUUR_ECOLI HTH-type transcriptional regulator PuuR	puuR	Escherichia coli (strain K12)
P0A9U8	YDIO_ECOLI	YDIO_ECOLI Probable acyl-CoA dehydrogenase YdiO	ydiO	Escherichia coli (strain K12)
P0A9V1	LPTB_ECOLI	LPTB_ECOLI Lipopolysaccharide export system ATP-binding protein LptB	lptB	Escherichia coli (strain K12)
P0A9V5	YIAG_ECOLI	YIAG_ECOLI Uncharacterized HTH-type transcriptional regulator YiaG	yiaG	Escherichia coli (strain K12)
P0A9V8	SQUU_ECOLI	SQUU_ECOLI 3-sulfolactaldehyde reductase	yihU	Escherichia coli (strain K12)
P0A9W0	ULAR_ECOLI	ULAR_ECOLI HTH-type transcriptional regulator UlaR	ulaR	Escherichia coli (strain K12)
P0A9W3	ETTA_ECOLI	ETTA_ECOLI Energy-dependent translational throttle protein EttA	ettA	Escherichia coli (strain K12)
P0A9W6	IBAG_ECOLI	IBAG_ECOLI Acid stress protein IbaG	ibaG	Escherichia coli (strain K12)
P0A9W9	YRDA_ECOLI	YRDA_ECOLI Protein YrdA	yrdA	Escherichia coli (strain K12)
P0A9X1	ZNUC_ECOLI	ZNUC_ECOLI Zinc import ATP-binding protein ZnuC	znuC	Escherichia coli (strain K12)
P0A9X4	MREB_ECOLI	MREB_ECOLI Cell shape-determining protein MreB	mreB	Escherichia coli (strain K12)
P0A9X9	CSPA_ECOLI	CSPA_ECOLI Cold shock protein CspA	cspA	Escherichia coli (strain K12)
P0A9Y6	CSPC_ECOLI	CSPC_ECOLI Cold shock-like protein CspC	cspC	Escherichia coli (strain K12)
P0A9Z1	GLNB_ECOLI	GLNB_ECOLI Nitrogen regulatory protein P-II 1	glnB	Escherichia coli (strain K12)
P0AA04	PTHP_ECOLI	PTHP_ECOLI Phosphocarrier protein HPr	ptsH	Escherichia coli (strain K12)
P0AA10	RL13_ECOLI	RL13_ECOLI 50S ribosomal protein L13	rplM	Escherichia coli (strain K12)
P0AA16	OMPR_ECOLI	OMPR_ECOLI DNA-binding dual transcriptional regulator OmpR	ompR	Escherichia coli (strain K12)
P0AA25	THIO_ECOLI	THIO_ECOLI Thioredoxin 1	trxA	Escherichia coli (strain K12)
P0AA31	YEDF_ECOLI	YEDF_ECOLI Putative sulfur carrier protein YedF	yedF	Escherichia coli (strain K12)
P0AA37	RLUA_ECOLI	RLUA_ECOLI Dual-specificity RNA pseudouridine synthase RluA	rluA	Escherichia coli (strain K12)
P0AA39	RLUC_ECOLI	RLUC_ECOLI Ribosomal large subunit pseudouridine synthase C	rluC	Escherichia coli (strain K12)
